,Business Type,Power System Resource  Type,Settlement Date,Settlement Period,Quantity ,Resolution
391,Wind generation,Wind Onshore,2015-01-22,38,1049.0,PT30M
392,Solar generation,Solar,2015-01-22,38,0.0,PT30M
393,Wind generation,Wind Offshore,2015-01-22,39,540.0,PT30M
394,Wind generation,Wind Onshore,2015-01-22,39,1197.0,PT30M
395,Solar generation,Solar,2015-01-22,39,0.0,PT30M
396,Wind generation,Wind Offshore,2015-01-23,10,831.0,PT30M
397,Wind generation,Wind Onshore,2015-01-23,10,2740.0,PT30M
398,Solar generation,Solar,2015-01-23,10,0.0,PT30M
399,Wind generation,Wind Offshore,2015-01-23,11,958.0,PT30M
400,Wind generation,Wind Onshore,2015-01-23,11,2810.0,PT30M
401,Solar generation,Solar,2015-01-23,11,0.0,PT30M
402,Solar generation,Solar,2015-01-23,20,299.0,PT30M
403,Wind generation,Wind Offshore,2015-01-23,20,1556.0,PT30M
404,Wind generation,Wind Onshore,2015-01-23,20,3545.0,PT30M
405,Wind generation,Wind Offshore,2015-01-23,21,1651.0,PT30M
406,Wind generation,Wind Onshore,2015-01-23,21,3568.0,PT30M
407,Solar generation,Solar,2015-01-23,21,480.0,PT30M
408,Wind generation,Wind Offshore,2015-01-23,28,2472.0,PT30M
409,Wind generation,Wind Onshore,2015-01-23,28,3581.0,PT30M
410,Solar generation,Solar,2015-01-23,28,1079.0,PT30M
411,Wind generation,Wind Onshore,2015-01-23,29,3456.0,PT30M
412,Solar generation,Solar,2015-01-23,29,951.0,PT30M
413,Wind generation,Wind Offshore,2015-01-23,29,2539.0,PT30M
